index,docId,category,charCount,wordCount,url
1,451812,world,331,28,https://thmeythmey.com/?page=detail&id=84061
2,451811,cambodia,166,26,https://thmeythmey.com/?page=detail&id=84063
3,451810,cambodia,1292,76,http://share4lives.com/archives/37431
4,451809,entertainment,734,39,https://www.popular.com.kh/entertainment/142025.html/
5,451807,cambodia,1384,154,http://www.freshnewsasia.com/index.php/en/localnews/137052-2019-10-18-13-18-17.html
6,451805,cambodia,3748,172,http://www.freshnewsasia.com/index.php/en/localnews/137053-2019-10-18-13-24-09.html
7,451800,entertainment,906,50,https://www.dap-news.com/archives/96649
8,451799,entertainment,918,63,https://www.lookingtoday.com/art/50708.html
9,451798,sports,594,57,http://news.sabay.com.kh/article/1165048
10,451797,health,1349,20,https://www.health.com.kh/archives/95143
11,451792,world,3737,100,https://wmc.org.kh/តួកគីប្រកាសផ្អាកសង្គ្រ/
12,451791,cambodia,3607,111,https://wmc.org.kh/យុវជនក្នុងវគ្គផ្ដាច់ព្/
13,451785,entertainment,542,23,http://news.todaysharing.com/entertainment/6164/
14,451775,cambodia,768,57,http://nkdnews.com/archives/294339
15,451769,cambodia,477,32,https://thmeythmey.com/?page=detail&id=84048
16,451764,entertainment,1298,70,https://www.popular.com.kh/entertainment/142108.html/
17,451760,cambodia,3237,127,http://www.freshnewsasia.com/index.php/en/localnews/137051-2019-10-18-12-50-44.html
18,451759,sports,1173,94,http://news.sabay.com.kh/article/1170429
19,451758,health,1792,44,https://www.health.com.kh/archives/95142
20,451746,world,374,23,https://thmeythmey.com/?page=detail&id=84058
21,451745,cambodia,386,41,https://thmeythmey.com/?page=detail&id=84059
22,451744,cambodia,2108,103,http://www.freshnewsasia.com/index.php/en/localnews/137047-2019-10-18-12-19-59.html
23,451743,world,3526,53,https://wmc.org.kh/អ៊ីរ៉ង់ប្ដឹងអ៊ីស្រាអែល/
24,451742,cambodia,1690,143,http://www.freshnewsasia.com/index.php/en/localnews/137048-2019-10-18-12-22-46.html
25,451741,cambodia,1508,58,http://www.freshnewsasia.com/index.php/en/localnews/137049-2019-10-18-12-32-32.html
26,451740,cambodia,2795,248,http://www.freshnewsasia.com/index.php/en/localnews/137050-2019-10-18-12-34-03.html
